sigma_a,sigma_b,r,c0_a
0.7,2,1.15533648273812,0.841320671102003
0.8,2,1.3158551121268,0.863984330695819
0.9,2,1.47737757516209,0.883862417530986
1,2,1.6395672995443,0.901384587628548
1.1,2,1.80203779215577,0.916894287043027
1.2,2,1.96437459288378,0.930671330118545
1.3,2,2.12615294220819,0.942947229245418
1.4,2,2.28695210653642,0.95391594393815
1.5,2,2.44636689716332,0.963741622015879
1.6,2,2.60401664684747,0.972564320498861
1.7,2,2.75955187118839,0.980504330414869
1.8,2,2.91265883070677,0.987665516436324
1.9,2,3.06306222988823,0.994137946769647
2,2,3.21052631578886,1.00000000000822
